altitude_km,longueur_onde_um,pression_Pa,temperature_C,temperature_K,epaisseur_couche_m,CO2_ppm,H2O_ppm,CH4_ppm,O3_ppm,sigma_CO2_m2_molecule,sigma_H2O_m2_molecule,sigma_CH4_m2_molecule,sigma_O3_m2_molecule,tau_CO2,tau_H2O,tau_CH4,tau_O3,tau_total,emissivite
0,4.8,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,2.999576837331e-41,2.508392385170e-24,4.348028203966e-30,8.651488667591e-30,3.246860480937e-16,8.267508702929e+02,2.104072301724e-07,2.203461917889e-08,8.267508705254e+02,1.000000000000e+00
0,4.9,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,4.619127938758e-41,3.188321739222e-24,7.703877982442e-30,9.606064370515e-30,4.999926581006e-16,1.050851449024e+03,3.728015440178e-07,2.446584378074e-08,1.050851449421e+03,1.000000000000e+00
0,5.0,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,7.113117640156e-41,4.052553967592e-24,1.369358694329e-29,1.066596638914e-29,7.699519570442e-16,1.335697133919e+03,6.626520263217e-07,2.716532571325e-08,1.335697134609e+03,1.000000000000e+00
0,5.1,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,1.095367853706e-40,5.151046539065e-24,2.434971798330e-29,1.184281769232e-29,1.185669442444e-15,1.697753602773e+03,1.178317268428e-06,3.016266770745e-08,1.697753603982e+03,1.000000000000e+00
0,5.2,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,1.686786013714e-40,6.547298483823e-24,4.330032081948e-29,1.314952508425e-29,1.825843825557e-15,2.157949749637e+03,2.095363723927e-06,3.349074231583e-08,2.157949751766e+03,1.000000000000e+00
0,5.3,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,2.597526526305e-40,8.322020993437e-24,7.700000835486e-29,1.460042204493e-29,2.811665339418e-15,2.742887492243e+03,3.726139233968e-06,3.718605571505e-08,2.742887496006e+03,1.000000000000e+00
0,5.4,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,4.000000000000e-40,1.057780298032e-23,1.369275163730e-28,1.621142833738e-29,4.329758038571e-15,3.486379512021e+03,6.626116046843e-06,4.128915421204e-08,3.486379518688e+03,1.000000000000e+00
0,5.5,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,6.159706104239e-40,1.344504129210e-23,2.434953802208e-28,1.800022908454e-29,6.667509255015e-15,4.431403816677e+03,1.178308559850e-05,4.584508033819e-08,4.431403828506e+03,1.000000000000e+00
0,5.6,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,9.485494822648e-40,1.708947838058e-23,4.330028204801e-28,1.998647704084e-29,1.026747436454e-14,5.632588110031e+03,2.095361847721e-05,5.090388801783e-08,5.632588131035e+03,1.000000000000e+00
0,5.7,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,1.460696509019e-39,2.172178314485e-23,7.700000000180e-28,2.219202353033e-29,1.581115612960e-14,7.159367579607e+03,3.726138829751e-05,5.652123074858e-08,7.159367616925e+03,1.000000000000e+00
0,5.8,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,2.249365300762e-39,2.760972877487e-23,1.369275145734e-27,2.464118659742e-29,2.434801873164e-14,9.099998639817e+03,6.626115959757e-05,6.275904455888e-08,9.099998706141e+03,1.000000000000e+00
0,5.9,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,3.463857293441e-39,3.509367154338e-23,2.434953798330e-27,2.736107042284e-29,3.749415990184e-14,1.156666064759e+04,1.178308557974e-04,6.968636153364e-08,1.156666076549e+04,1.000000000000e+00
0,6.0,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,5.334085728654e-39,4.460622530692e-23,4.330028203966e-27,3.038196004106e-29,5.773825140516e-14,1.470194049823e+04,2.095361847317e-04,7.738031512666e-08,1.470194070784e+04,1.000000000000e+00
0,6.1,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,8.214100105829e-39,5.669726901253e-23,7.700000000000e-27,3.373783363143e-29,8.891266490710e-14,1.868707494747e+04,3.726138829664e-04,8.592744492333e-08,1.868707532017e+04,1.000000000000e+00
0,6.2,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,1.264911064067e-38,7.206573278417e-23,1.369275145730e-26,3.746706811492e-29,1.369189711931e-13,2.375242711222e+04,6.626115959738e-04,9.542549373661e-08,2.375242777493e+04,1.000000000000e+00
