altitude_km,longueur_onde_um,nombre_onde_cm_1,pression_Pa,epaisseur_couche_m,temperature_K,CO2_ppm,H2O_ppm,CH4_ppm,O3_ppm,sigma_CO2_m2_molecule,sigma_H2O_m2_molecule,sigma_CH4_m2_molecule,sigma_O3_m2_molecule,tau_CO2,tau_H2O,tau_CH4,tau_O3,emissivite
0,7.8,1282.05128205,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,0.000000000000e+00,8.666357501453e-28,7.336718346622e-25,5.351709295096e-30,0.000000000000e+00,2.856378710507e-01,3.550341703072e-02,1.363035667090e-08,2.746792453153e-01
0,7.9,1265.82278481,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,0.000000000000e+00,6.008220626480e-27,2.812827068169e-24,1.650407587999e-28,0.000000000000e+00,1.980272967348e+00,1.361166774004e-01,4.203450306503e-07,8.795342820771e-01
0,8.0,1250.00000000,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,0.000000000000e+00,3.353393390704e-29,6.207457643669e-24,1.129862746422e-27,0.000000000000e+00,1.105258061135e-02,3.003876488256e-01,2.877666064002e-06,2.676107229322e-01
0,8.1,1234.56790123,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,2.714109061106e-36,1.439710732332e-30,3.290730826853e-26,2.152673216170e-27,2.937858881220e-11,4.745198988653e-04,1.592431157391e-03,5.482678918899e-06,2.070287756442e-03
0,8.2,1219.51219512,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,2.446325833063e-34,4.529969539234e-28,4.944407772187e-25,1.153528863079e-26,2.647999735167e-09,1.493050401964e-01,2.392668803849e-02,2.937941686846e-05,1.590819861789e-01
0,8.3,1204.81927711,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,4.367639509805e-35,3.210026092735e-30,3.210661975119e-27,4.316693371337e-26,4.727705569290e-10,1.058005071903e-03,1.553684708366e-04,1.099425754388e-04,1.322441393645e-03
0,8.4,1190.47619048,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,1.505838435325e-33,6.759053964871e-29,2.329996654951e-26,6.339062104452e-26,1.629979017534e-08,2.227743067971e-02,1.127518312857e-03,1.614506182574e-04,2.329089650989e-02
0,8.5,1176.47058824,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,1.751418554670e-33,2.625079457484e-28,1.164917748805e-27,1.700311776132e-25,1.895804641496e-08,8.652102194592e-02,5.637201632708e-05,4.330552106344e-04,8.333250021248e-02
0,8.6,1162.79069767,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,8.750252785800e-34,2.697322403138e-29,4.957187006266e-28,2.313502258436e-25,9.471619334711e-09,8.890210548554e-03,2.398852855838e-05,5.892297059244e-04,9.458423297143e-03
0,8.7,1149.42528736,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,7.579193116364e-33,1.785040787437e-26,5.509955449637e-27,2.981891649236e-25,8.204018080365e-08,5.883385842050e+00,2.666345318261e-04,7.594629022603e-04,9.972175182162e-01
0,8.8,1136.36363636,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,7.555514303619e-34,1.131368758851e-27,6.438235142874e-27,3.237585778504e-25,8.178387197908e-09,3.728922602111e-01,3.115552981866e-04,8.245860617670e-04,3.120426331451e-01
0,8.9,1123.59550562,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,4.062473253508e-35,4.278373727750e-29,1.692465914644e-26,3.116041129873e-25,4.397381556464e-10,1.410125953088e-02,8.190081769399e-04,7.936296547403e-04,1.559107867418e-02
0,9.0,1111.11111111,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,4.620037943985e-32,5.346744294570e-28,7.109496527690e-29,4.555297386264e-25,5.000911606618e-07,1.762254392456e-01,3.440385853401e-06,1.160196204486e-03,1.625465307469e-01
0,9.1,1098.90109890,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,8.369332518653e-29,7.950969951309e-29,2.548180364033e-29,2.478854825605e-25,9.059296187527e-04,2.620591326055e-02,1.233100493430e-06,6.313436239773e-04,2.736307803311e-02
0,9.2,1086.95652174,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,2.034847855024e-27,3.010803879227e-30,5.023185900318e-29,2.911177126432e-25,2.202599714390e-02,9.923426423028e-04,2.430790653480e-06,7.414525038161e-04,2.348212443289e-02
0,9.3,1075.26881720,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,5.006075747732e-28,6.090340768141e-29,7.217897061489e-30,5.219230675349e-25,5.418774177609e-03,2.007339266460e-02,3.492842403810e-07,1.329294468926e-03,2.646530036181e-02
0,9.4,1063.82978723,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,6.686529625250e-29,2.271929248116e-29,2.404702226571e-30,1.469211651667e-23,7.237763848767e-04,7.488140588484e-03,1.163669394832e-07,3.741959387745e-02,4.460616153766e-02
0,9.5,1052.63157895,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,6.526165513372e-28,6.676719372231e-30,7.550748191930e-29,2.852618309087e-23,7.064179398141e-03,2.200606087121e-03,3.653913770255e-06,7.265380620437e-02,7.865640557344e-02
0,9.6,1041.66666667,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,3.346382281121e-28,5.673066686519e-30,8.807482859609e-30,2.040699214834e-23,3.622256395454e-03,1.869808267653e-03,4.262065438284e-07,5.197490488079e-02,5.584732672602e-02
0,9.7,1030.92783505,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,7.232400606053e-29,3.298257570968e-29,2.410115312790e-30,3.104860890579e-23,7.828636165555e-04,1.087085630370e-02,1.166288863760e-07,7.907821411547e-02,8.673761383308e-02
0,9.8,1020.40816327,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,1.357621106365e-29,3.405551081803e-30,9.335476562817e-31,1.537831782223e-23,1.469542724654e-04,1.122448918819e-03,4.517569053784e-08,3.916729130030e-02,3.963008408976e-02
0,9.9,1010.10101010,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,9.482979268485e-29,8.505143477335e-28,6.386733296923e-30,1.239769883255e-23,1.026475142933e-03,2.803243548906e-01,3.090630510698e-07,3.157590363530e-02,2.686967354890e-01
0,10.0,1000.00000000,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,1.134417310344e-30,4.146098490196e-29,4.718587949997e-31,5.160971754664e-24,1.227938117139e-05,1.366528839489e-02,2.283391400217e-08,1.314456408329e-02,2.646563535299e-02
0,10.1,990.09900990,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,3.177209025026e-29,8.675874861638e-29,6.697222548858e-31,1.557181333885e-24,3.439136579082e-04,2.859515574524e-02,3.240880648078e-08,3.966010822296e-03,3.236962886998e-02
0,10.2,980.39215686,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,1.747581998017e-28,1.934258968704e-30,1.279610251185e-30,7.814177577740e-25,1.891651800994e-03,6.375199889788e-04,6.192214862049e-08,1.990205775414e-03,4.509242188704e-03
0,10.3,970.87378641,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,4.806807290860e-28,2.755248748988e-29,9.930684923929e-32,1.200408208448e-25,5.203078126866e-03,9.081132260514e-03,4.805598792235e-09,3.057339464762e-04,1.448403156785e-02
0,10.4,961.53846154,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,1.426043588735e-28,4.411199798690e-30,3.782019028235e-31,5.698498218037e-26,1.543605922919e-03,1.453904618019e-03,1.830172461771e-08,1.451359909843e-04,3.137731831463e-03
0,10.5,952.38095238,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,2.142423104275e-28,7.789285517155e-30,1.588895386003e-31,7.997398166524e-27,2.319043414439e-03,2.567301120168e-03,7.688889342937e-09,2.036870529362e-05,4.894702638487e-03
0,10.6,943.39622642,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,3.264532527265e-28,2.429826845267e-30,1.812094446679e-31,3.722537842442e-27,3.533658988025e-03,8.008561462959e-04,8.768981143882e-09,9.480993027762e-06,4.334583354406e-03
0,10.7,934.57943925,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,3.364953215181e-28,2.715054818211e-31,6.123940367485e-32,7.738008832607e-28,3.642358308211e-03,8.948655509881e-05,2.963461297900e-09,1.970806232089e-06,3.726856599897e-03
0,10.8,925.92592593,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,2.525325832467e-29,2.177734364722e-29,2.760728168002e-32,1.570791571444e-28,2.733512455784e-04,7.177679983186e-03,1.335955379862e-09,4.000674960812e-07,7.423739535186e-03
0,10.9,917.43119266,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,1.209682973297e-28,2.896610242096e-30,3.329766049872e-31,2.368800085815e-29,1.309408644439e-03,9.547051142041e-04,1.611320853523e-08,6.033136007838e-08,2.261628858063e-03
0,11.0,909.09090909,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,1.459979219793e-29,2.488892924523e-27,2.599530996157e-31,1.482000563516e-29,1.580339190761e-04,8.203239666890e-01,1.257949790090e-08,3.774531678266e-08,5.597806048199e-01
0,11.1,900.90090090,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,1.313761683982e-28,1.200805250429e-31,3.895497689840e-31,1.817700890525e-30,1.422067552997e-03,3.957781054167e-05,1.885086389997e-08,4.629532377922e-09,1.460601126310e-03
0,11.2,892.85714286,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,1.981325783673e-29,1.404154549529e-30,1.650817994908e-35,1.820876279061e-29,2.144665309722e-04,4.628007973203e-04,7.988541599395e-13,4.637619827357e-08,6.770843801398e-04
0,11.3,884.95575221,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,1.804779615906e-29,2.122417908464e-29,3.291343492379e-33,5.272144323457e-29,1.953564762455e-04,6.995360308549e-03,1.592727634898e-10,1.342771133235e-07,7.165058910456e-03
0,11.4,877.19298246,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,2.293036414502e-29,1.296026765367e-29,9.556613433622e-35,1.842487227973e-28,2.482073212107e-04,4.271625374583e-03,4.624580311053e-12,4.692661109575e-07,4.510100778201e-03
0,11.5,869.56521739,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,5.306512490804e-30,1.219229363895e-29,6.552300010348e-34,1.471430070911e-28,5.743978778458e-05,4.018505811318e-03,3.170750583398e-11,3.747609516306e-07,4.068023475252e-03
0,11.6,862.06896552,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,5.823916302080e-30,6.307299565667e-31,8.733722063641e-38,1.369061417822e-27,6.304037106224e-05,2.078847566251e-04,4.226371546601e-15,3.486885105360e-06,2.743743652643e-04
0,11.7,854.70085470,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,5.079734429308e-30,3.432772308588e-27,0.000000000000e+00,4.576039315364e-28,5.498505244775e-05,1.131420869566e+00,0.000000000000e+00,1.165479000618e-06,6.774435180004e-01
0,11.8,847.45762712,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,5.340322125747e-29,9.454233339410e-30,0.000000000000e+00,1.011182510520e-27,5.780575663128e-04,3.116057793637e-03,0.000000000000e+00,2.575397413756e-06,3.689866407846e-03
0,11.9,840.33613445,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,1.662936491551e-29,1.580194228942e-27,0.000000000000e+00,1.414996779044e-27,1.800028160481e-04,5.208224047137e-01,0.000000000000e+00,3.603878634480e-06,4.060772457395e-01
0,12.0,833.33333333,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,1.013318028223e-29,1.278301625257e-30,0.000000000000e+00,3.844833157959e-27,1.096855469582e-04,4.213204391093e-04,0.000000000000e+00,9.792468983903e-06,5.406522499238e-04
0,12.1,826.44628099,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,3.136252072615e-28,4.502353623590e-29,0.000000000000e+00,1.226897098418e-26,3.394803155597e-03,1.483948364170e-02,0.000000000000e+00,3.124804455514e-05,1.809973099369e-02
0,12.2,819.67213115,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,5.808987073659e-29,2.407025782287e-31,0.000000000000e+00,9.146131835007e-27,6.287877119533e-04,7.933410546486e-05,0.000000000000e+00,2.329443402026e-05,7.311488317743e-04
0,12.3,813.00813008,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,1.059392002987e-28,6.392245083039e-29,0.000000000000e+00,4.465932643973e-26,1.146727760233e-03,2.106845092009e-02,0.000000000000e+00,1.137435750880e-04,2.208147702121e-02
